-87.36364699,12.85691649
-85.9699372,14.07641256
-83.35673134,14.86037432
-83.09541075,11.81163414
-81.44038037,9.98239004
-78.69651421,9.54685573
-76.47528923,9.285535143
-74.38472454,11.63742042
-70.59557604,12.29072189
-67.41617557,10.67924494
-65.84825206,10.67924494
-63.75768737,10.7663518
-60.97026778,9.98239004
-58.53127564,7.804718488
-56.7891384,6.062581246
-55.04700116,5.888367522
-53.04354333,5.714153797
-51.64983353,4.320444004
-50.86587178,3.884909694
-49.73348257,1.358810693
-48.60109336,-0.339773118
-44.24575026,-1.951250067
-41.89386498,-2.735211825
-40.50015519,-2.822318688
-38.67091108,-2.996532412
-36.84166698,-4.303135343
-35.01242288,-5.348417688
-34.4897817,-7.003448068
-34.75110229,-8.658478448
-35.44795719,-9.834421086
-36.92877384,-10.66193628
-38.32248363,-12.83960783
-38.84512481,-15.10438624
-39.5419797,-18.84998131
-40.50015519,-20.67922542
-41.10990322,-21.89872149
-41.71965126,-22.76979011
-43.63600222,-22.94400383
-45.2910326,-23.81507245
-47.12027671,-24.33771362
-48.33977278,-25.992744
-48.42687964,-28.08330869
-50.08191002,-30.43519397
-51.56272667,-31.65469004
-52.60800902,-32.69997239
-54.78568057,-35.22607139
-56.70203154,-36.70688804
-59.75077171,-37.05531549
-62.71240502,-34.2678959
-64.62875599,-30.78362142
-66.45800009,-28.34462928
-68.63567164,-26.95091949
-69.94227457,-23.466645
-70.63912947,-18.32734014
-74.25406425,-16.14966859
-75.69132747,-14.58174507
-76.73660982,-12.75250097
-79.08849509,-8.222944137
-80.30799116,-6.393700033
-81.22261322,-4.738669654
-80.83063234,-2.299677515
-80.2208843,-0.470433411
-79.61113627,0.749062658
-78.04321275,2.752520486
-77.34635785,5.365726349
-78.78362108,7.194970453
-80.74352547,7.282077315
-83.35673134,7.630504763
-85.18597544,9.198428281
-87.36364699,12.85691649
